Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price USD;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url;Image 3 Url;Image 4 Url;Image 5 Url
;what-am-i;What am I?;Cool things mastered with this: Cognitive Skill Building. Memory Building. Concentration. Imagination Booster. Critical Thinking. Problem Solving.;Description: Welcome to Riddle Master - the coolest guessing game that will leave you splashing with excitement! Get ready to dive into a world of riddles and unravel the mystery of each clue! In this thrilling game, children become riddle-solving wizards as they decipher clues to uncover the hidden objects. The riddles will challenge your wits and keep you on your toes! With its clever clues and interactive gameplay, Riddle master is sure to make a splash at parties and family play time. How to Play: Children read and try solving tricky riddles, like detectives on a case! When they figure it out, they flip the card to see if they're right. It's like unlocking a secret code! Woohoo for brainpower!!;published;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-1-1-min.webp;;;;;;;;;;;;Age > 6-8, Age > 8+, Card-Tastic Fun, Toys & Games;;true;20456;;;;Default;;;9;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-1-1-min.webp;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-4-1-min.webp;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-3-1-min.webp;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-2-1-min.webp;
;what-am-i-super-hero-edition;What am I - Super Hero Edition;Cool things mastered with this: Cognitive skill building. Memory Building. Concentration. Imagination Booster. Critical Thinking. Problem Solving.;Description: Introducing Riddle Master ‘Superhero Edition’ - the ultimate quest for young superheroes in training! Get ready to unleash your inner hero as you tackle thrilling riddles and unlock the secrets of each clue! In this action packed game, children become mighty riddle-solvers as they decipher clues to reveal the identities of their favorite superheroes. How to Play: Children read and try solving tricky riddles, like detectives on a case! When they figure it out, they flip the card to see if they're right. It's like unlocking a secret code! Woohoo for brainpower!!;published;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-Super-hero-min.jpg;;;;;;;;;;;;Age > 6-8, Age > 8+, Card-Tastic Fun, Toys & Games;;true;20457;;;;Default;;;12;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-Super-hero-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-Super-hero-4-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-Super-hero-3-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/05/What-am-I-Super-hero-2-min.jpg;
;zooga;Zooga;Cool things mastered with this: Physical Fitness. Body Awareness. Mindfulness. Breath Awareness. Concentration and Focus. Self-Regulation.;Description: Introducing Zooga Adventure - the wild and wacky flash card game that combines yoga and animal fun for kids! Get ready to stretch, bend, and roar like never before as you embark on a yoga journey with your favorite animal friends! In this exciting game, children will unleash their inner yogi as they imitate adorable animal yoga poses featured on colorful flashcards. How to Play: Children try to mimic the yoga poses in the cards. With its playful illustrations and interactive gameplay, Zooga Adventure is sure to make yoga fun and accessible for kids of all ages. So, grab your yoga mat, strike a pose, and let the yoga zoo adventure begin!;published;http://joy.unlux.dev/wp-content/uploads/2024/06/Zooga-1-_1_-min-1.webp;;;;;;;;;;;;Age > 4-6, Age > 6-8, Age, Flashcard Fun, Toys & Games;;true;20459;;;;Default;;;10;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/06/Zooga-1-_1_-min-1.webp;http://joy.unlux.dev/wp-content/uploads/2024/05/Zooga-3-_1_-min.webp;http://joy.unlux.dev/wp-content/uploads/2024/05/Zooga-4-1-min.webp;http://joy.unlux.dev/wp-content/uploads/2024/05/Zooga-2-1-min.webp;
;story-master;Story Master;Cool things mastered with this: Imagination Story telling Creativity Language skills;Description: Welcome to Story Master - where imagination knows no bounds and storytelling reigns supreme!   Get ready to embark on an epic journey of creativity and fun as you become the master storyteller! In this exciting game, children unleash their imagination as they craft captivating stories using different cards.    With its colorful cards and interactive gameplay, Storyteller's Adventure is sure to inspire endless storytelling fun for kids of all ages. So, gather around, let your imagination soar, and embark on a storytelling adventure like never before!  How to Play: With 10 cards in each category, the storytelling possibilities are endless! From brave superheroes in space to mischievous robots in magical forests, storytelling magic awaits! As children weave together tales of adventure, they'll not only sharpen their imagination and narration skills but also develop confidence in expressing themselves creatively.  ;published;http://joy.unlux.dev/wp-content/uploads/2024/06/Storymaster-min.jpg;;;;;;;;;;;;Age > 6-8, Kid's Development Games, Toys & Games;story, story master, storymaster;true;21462;;;;Default;;;12;false;true;;;;;;;;;49900;79900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/06/Storymaster-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/06/Storymaster-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/06/Storymaster-3-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/06/Storymaster-4-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/06/Storymaster-5-min.jpg
;sequence-scramble;Sequence Scramble;Cool things mastered with this: Logical reasoning. Problem solving. Memory. Attention to detail.;Description: Get ready for Sequence Scramble, the super fun game where you get to put four sets of cards in the right order. It’s like a puzzle party that makes you smarter! Kids will love the challenge and have a blast improving their logic skills. Sequence Scramble is the coolest way to learn sequencing! How to Play: Children arrange four sets of cards in a specific order by looking at the pictures in the front.;published;http://joy.unlux.dev/wp-content/uploads/2024/06/SS-min.jpg;;;;;;;;;;;;Age > 4-6, Card-Tastic Fun, Toys & Games;;true;21723;;;;Default;;;10;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/06/SS-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/06/SS-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/06/SS-3-min.jpg;;
;master-says;Master Says;Cool things mastered with this: Listening skills. Following directions. Social skills. Attention to detail.;Description: Get ready to jump, dance, and wiggle your way to fun with our newest game sensation: Master Says Inspired by the classic game Simon Says, Master Says puts a zany twist on imitation play that will have kids laughing and moving in no time! How to Play: Each player gets a stack of colorful flashcards featuring hilarious pictures and wacky actions. The rules are simple: as soon as a child sees a flashcard, they must quickly imitate the action depicted.  But here's the catch – they can only do so if the card is presented with the command ""Master Says"" It's a race against the clock as players strive to keep up with the ever-changing commands.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Master-Says.jpg;;;;;;;;;;;;Age > 4-6, Card-Tastic Fun, Toys & Games;;true;21750;;;;Default;;;11;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Master-Says.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Master-Says-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Master-Says-min.jpg;;
;basic-alphabet-number-and-shape-flashcard-combo;Basic Alphabet, Number and Shape flashcard Combo;Cool things mastered with this: Alphabet Recognition. Shape Recognition. Number Recognition.;Description: Dive into the world of early learning with JJ’s Basic Flashcard Set. Perfect for beginners, these alphabet flashcards feature realistic pictures and are printed on both sides, allowing children to explore not only letters but also numbers and shapes. Each card is designed to engage young minds with vibrant visuals, making learning both educational and enjoyable from the very beginning. How to Play: Children flip through cards and learn.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/88-min.jpg;;;;;;;;;;;;Age > 2-4, Flashcard Fun, Toys & Games;;true;21754;;;;Default;;;11;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/88-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Basic-Flashcards-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Basic-Flashcards-2-min.jpg;;
;festive-fiesta-flashcards;Festive Fiesta Flashcards;Cool things mastered with this: Knowledge building. Curiosity. Geographical Knowledge.;Description: Welcome to Festive Fiesta - the celebration-filled flashcard game that brings the vibrant festivals of India to life! Get ready to immerse yourself in a whirlwind of colors, traditions, and joyous festivities! In this exciting game, children will embark on a cultural journey as they explore the rich tapestry of Indian festivals through colorful flashcards. How to Play: Children get a set of cards filled with interesting and captivating knowledge about Indian festivals.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Festivals-3-min.jpg;;;;;;;;;;;;Age > 4-6, Age > 6-8, Flashcard Fun, Toys & Games;;true;21765;;;;Default;;;11;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Festivals-3-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Festivals-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Festivals-min.jpg;;
;shadow-match-mania;Shadow Match Mania;Cool things mastered with this: Visual perception. Boosts memory. Sharpens pattern recognition skills.;Description: We bring you Shadow Match Mania! In this delightful game, children match pictures with their shadows, turning playtime into an exciting learning adventure. It's a fantastic way to stimulate their brain while keeping them entertained. See your child's face light up as they explore the fun of matching pictures with shadows. How to Play: Children have to match each card with its shadow.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Shadow-Match-min.jpg;;;;;;;;;;;;Age > 4-6, Card-Tastic Fun, Toys & Games;;true;21766;;;;Default;;;10;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Shadow-Match-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Shadow-Match-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Shadow-Match-3-min.jpg;;
;food-kingdom-100-foods-flashcards;Food Kingdom (100 foods) Flashcards;Cool things mastered with this: Observation skills.  Vocabulary. Knowledge of foods.;Description: Introducing ""Food Kingdom,"" the tasty treat for curious minds hungry for knowledge!  Designed for budding foodies, Food Kingdom Flashcards has 50 flashcards with realistic pictures of 100 food items. As your child explores the colorful world of fruits, vegetables, and other food products, they'll expand their vocabulary faster than a moong sprouting. How to Play: Flip through each card, exploring different types of foods. Each food type is colour coded to help sort different types of foods.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Food-_-100-3-min.jpg;;;;;;;;;;;;Age > 2-4, Age > 4-6, Flashcard Fun, Toys & Games;;true;21767;;;;Default;;;10;false;true;;;;;;;;;19900;39900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Food-_-100-3-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Food-_-100-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Food-_-100-min.jpg;;
;animal-century-100-animals-birds-and-fishes-flashcards;Animal Century (100 animals, birds and fishes) Flashcards;Cool things mastered with this: Observation skills.  Vocabulary. Knowledge of Animals.;Description: Picture this: your child diving into a safari adventure from the comfort of home, encountering 100 amazing animals, birds and fishes along the way as each flashcard boasts stunningly realistic images that'll transport your little explorer straight to the heart of the wild! ???????? How to Play: From the depths of the ocean to the heights of the jungle, let these flashcards introduce you to these majestic animals.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Animal_100-min.jpg;;;;;;;;;;;;Age > 2-4, Age > 4-6, Flashcard Fun, Toys & Games;;true;21771;;;;Default;;;10;false;true;;;;;;;;;19900;39900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Animal_100-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Animal_100-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Animal_100-3-min.jpg;;
;hindi-swar-vyanjan-and-ginti-flashcards;Hindi Swar, Vyanjan and Ginti flashcards;Cool things mastered with this: Hindi letter recognition.;Description: Say Namaste to Hindi swar, vyanjans and Ginti. Begin your Hindi learning journey with JJ's Basic Hindi Flashcards! Each card introduces Hindi letters alongside realistic pictures, making learning engaging and enjoyable. These high-quality flashcards are designed to ignite curiosity and build a strong foundation in Hindi language skills from the start. How to Play: Children flip through cards and learn.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Hindi-Flashcards-min.jpg;;;;;;;;;;;;Age > 2-4, Age > 4-6, Flashcard Fun, Toys & Games;;true;21775;;;;Default;;;11;false;true;;;;;;;;;19900;39900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Hindi-Flashcards-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Hindi-Flashcards-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Hindi-Flashcards-3-min.jpg;;
;cosmic-quest-flashcards;Cosmic Quest Flashcards;Cool things mastered with this: Observation skills. Vocabulary. Space knowledge.;Description: Get ready to blast off on an out-of-this-world adventure with Cosmic Quest Embark on a cosmic journey through the wonders of the universe with these captivating flashcards, designed to ignite curiosity and inspire a love for astrophysics in young minds. How to Play: Each card features stunning images and fascinating facts about celestial marvels like planets, black holes, nebulae, and more! But the excitement doesn't end there! As children flip through these captivating cards, they'll not only expand their knowledge of the cosmos but also thirst for discovery.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Cosmic-Quest-min.jpg;;;;;;;;;;;;Age > 8+, Flashcard Fun, Toys & Games;;true;21782;;;;Default;;;11;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Cosmic-Quest-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Cosmic-Quest-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Cosmic-Quest-3-min.jpg;;
;rhyming-and-opposites-matchup;Rhyming and Opposites Matchup;Cool things mastered with this: Vocabulary. Memory. Critical thinking skills. Language structure.;Description: Want to make learning words super fun for your kids? Introducing Rhyming and Opposites Match up, the exciting game where children match opposites and rhyming words. Kids will improve their vocabulary, enhance their memory, and develop critical thinking skills. They'll also get better at recognizing patterns and understanding language structures. How to Play: The cards are color coded on the red side match opposites, on the blue side match rhyming words.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Rhyming-and-opposites-min.jpg;;;;;;;;;;;;Age > 4-6, Card-Tastic Fun, Toys & Games;;true;21786;;;;Default;;;8;false;true;;;;;;;;;24900;49900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Rhyming-and-opposites-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Rhyming-and-opposites-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Rhyming-and-opposites-min-1.jpg;;
;phonic-phun;Phonic Phun;Cool things mastered with this: Phonemic awareness. Letter sound correspondence. Vocabulary development. Reading fluency. Word recognition;Description: Introducing ""Phonics Phun,"" the ultimate game for parents and kids to dive into the wonderful world of phonics together designed by teachers. English can be tricky and with Phonics Phun, children will embark on a journey filled with colorful images and practicing activities where they will learn how to read and pronounce words correctly. But here's the best part: parents get to join in on the fun too! With our easy-to-follow guide and interactive materials, parents will become phonics pros in no time. How to Play: In this you get a deck of cards illustrating how to pronounce different phenomes along with pictorial depiction. Children get reusable writing sheets featuring red and blue lines to practice different words using phenomes.;published;http://joy.unlux.dev/wp-content/uploads/2024/07/Phonic-Phun-min.jpg;;;;;;;;;;;;Age > 4-6, Age > 6-8, Kid's Development Games, Toys & Games;;true;21790;;;;Default;;;11;false;true;;;;;;;;;44900;79900;Size;Default;http://joy.unlux.dev/wp-content/uploads/2024/07/Phonic-Phun-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Phonic-Phun-2-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Phonic-Phun-3-min.jpg;http://joy.unlux.dev/wp-content/uploads/2024/07/Vocab-Voyage-4-min.jpg;
